"IDENTIFIER","en","fr","de","it","es","ru","po","zh-hans"
"CULTURE_en","English","English","English","English","English","English","English","English"
"CULTURE_fr","Français","Français","Français","Français","Français","Français","Français","Français"
"CULTURE_de","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch","Deutsch"
"CULTURE_it","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano","Italiano"
"CULTURE_es","Español","Español","Español","Español","Español","Español","Español","Español"
"CULTURE_ru","Pусский","Pусский","Pусский","Pусский","Pусский","Pусский","Pусский","Pусский"
"CULTURE_po","Polskie","Polskie","Polskie","Polskie","Polskie","Polskie","Polskie","Polskie"
"CULTURE_zh-hans","简体中文","简体中文 ","简体中文 ","简体中文 ","简体中文 ","简体中文 ","简体中文 ","简体中文 "
"UI_PAUSE","Pause\n<size=60%><alpha=#99>[ESPACE]","Pause\n<size=60%><alpha=#99>[SPACE]","Pause\n<size=60%><alpha=#99>[SPACE]","Pausa\n<size=60%><alpha=#99>[SPACE]","Pausa\n<size=60%><alpha=#99>[SPACE]","Пауза\n<size=60%><alpha=#99>[SPACE]","Pauza\n<size=60%><alpha=#99>[SPACE]","暂停\n<size=60%><alpha=#99>[SPACE]"
"UI_UNPAUSE","Fin de Pause\n<size=60%><alpha=#99>[ESPACE]","Pause\n<size=60%><alpha=#99>[SPACE]","Pause\n<size=60%><alpha=#99>[SPACE]","Pausa\n<size=60%><alpha=#99>[SPACE]","Pausa\n<size=60%><alpha=#99>[SPACE]","Пауза\n<size=60%><alpha=#99>[SPACE]","Pauza\n<size=60%><alpha=#99>[SPACE]","恢复\n<size=60%><alpha=#99>[SPACE]"
"UI_NORMALSPEED","Normal\n<size=60%><alpha=#99>[N]",,,,,,,"简体中文 "
"UI_FASTSPEED","Plus Rapide\n<size=60%><alpha=#99>[M]",,,,,,,"简体中文 "
"UI_RELOAD","Recharge",,,,,,,"简体中文 "
"UI_CONTINUE","Continuer",,,,,,,"简体中文 "
"UI_RESUME","Reprendre",,,,,,,"简体中文 "
"UI_RESTART","RECOMMENCER",,,,,,,"简体中文 "
"UI_RESTARTSURE","REDÉMARRAGE DÉFINITIF ?",,,,,,,"简体中文 "
"UI_BROWSE","Parcourir les Fichiers",,,,,,,"简体中文 "
"UI_SAVEEXIT","Sauvegarder & Quitter",,,,,,,"简体中文 "
"UI_OPTIONS","Options\n<size=60%><alpha=#99>[ESC]",,,,,,,"简体中文 "
"UI_GREEDY","Prendre une carte pour combler le vide",,,,,,,"简体中文 "
"UI_CONSUMES","Consomme son contenu",,,,,,,"简体中文 "
"UI_UNIQUE","Unique: Ne peut exister qu'en un seul exemplaire",,,,,,,"简体中文 "
"UI_DECAYS","Cette carte se désintègre",,,,,,,"简体中文 "
"UI_CORRUPTSAVE","Session En Cours Corrompue",,,,,,,"简体中文 "
"UI_CORRUPTDESC","Saving halted to protect your saved data.\n A pair of error report save files (before & after) have been created. If you continue without saving then it MAY recover, but we recommend reloading.",,,,,,,"简体中文 "
"UI_CORRUPTCONTINUE","Continuer de jouer",,,,,,,"简体中文 "
"UI_CORRUPTRELOAD","Recharger la dernière sauvegarde",,,,,,,"简体中文 "
"UI_CORRUPTABANDON","Abandonner la session & quitter",,,,,,,"简体中文 "
"UI_OPTIONSTITLE","Options",,,,,,,"简体中文 "
"UI_OPTIONSNOTES","Preferences vary: the Red Grail, among others, has taught us that.\n\n[You can drag a stack by its number badge to move the whole stack. You can zoom with the mouse wheel, or with Q and E. 1, 2 and 3 switch zoom levels. Arrow keys move your view.]",,,,,,,"简体中文 "
"UI_OPT_MUSICVOL","Volume de la Musique",,,,,,,"简体中文 "
"UI_OPT_SOUNDVOL","Volume du Son",,,,,,,"简体中文 "
"UI_OPT_INFODURATION","Durée des Fenêtres d'Informations",,,,,,,"简体中文 "
"UI_OPT_UISCALING","UI Scaling",,,,,,,"简体中文 "
"UI_OPT_AUTOSAVEINTERVAL","Intervalle de la Sauvegarde Automatique",,,,,,,"简体中文 "
"UI_OPT_GRIDSNAPSIZE","Grid Snap Size",,,,,,,"简体中文 "
"UI_OPT_BIRDWORM","Bird / Worm",,,,,,,"简体中文 "
"UI_BIRD","Bird",,,,,,,"简体中文 "
"UI_WORM","Worm",,,,,,,"简体中文 "
"UI_CARD","Carte",,,,,,,"简体中文 "
"UI_SNAP_0","Off",,,,,,,"简体中文 "
"UI_SNAP_1","1 Carte",,,,,,,"简体中文 "
"UI_SNAP_2","½ Carte",,,,,,,"简体中文 "
"UI_SNAP_3","¼ Carte",,,,,,,"简体中文 "
"UI_MINUTES_POSTFIX"," min",,,,,,,"简体中文 "
"UI_SECONDS_POSTFIX"," sec",,,,,,,"简体中文 "
